Trial,S0_A1,S0_A2,PRw1,PRw2,PRw3,PRw4
1,0,0,0.25,0.75,0.6,0.4
2,0,1,0.30576553466729084,0.7439398092131033,0.580819620912108,0.3806877290058209
3,0,1,0.28168778346227735,0.7451169344269682,0.5849298907936962,0.36604955019382873
4,0,1,0.3155741136577095,0.7493492167470321,0.6161677311861115,0.33495882225661283
5,0,1,0.3066260310633352,0.7212606708643192,0.6359325476158297,0.33014549237334856
6,0,1,0.30215177031785284,0.7246310401965683,0.6423196865232544,0.3127198978032062
7,0,0,0.31439044195671656,0.6942344475891183,0.644743777089102,0.3235062048735675
8,0,0,0.28053315078744323,0.6566420082539507,0.7046621711929455,0.33776420430040616
9,0,1,0.2605478494959994,0.6532993700417967,0.6958566068602074,0.3322501176607714
10,0,1,0.2938083906782179,0.6956073090666814,0.7084706364156031,0.31724943537348677
11,0,1,0.316784376927224,0.6616933840541517,0.7273071679428401,0.30015428885381146
12,0,1,0.30788643871013854,0.623212964255837,0.7359017996291446,0.310480579591452
13,0,1,0.2848008378781144,0.6303175724925821,0.7233182318497605,0.327709062184391
14,0,1,0.258626594388112,0.6398420583260424,0.700005005349574,0.2896489816497411
15,0,1,0.26011226005384436,0.6385102759171655,0.7138224104899038,0.2518106323806816
16,1,0,0.2568174514676685,0.672849735732359,0.7280994935240126,0.26675267933389196
17,1,1,0.2626345630203202,0.6652874099513344,0.7092555657546585,0.27581386868545066
18,0,1,0.2724565944291132,0.6664459093975398,0.7460199475873619,0.28754685916166484
19,1,1,0.2822606056352935,0.7072394383289458,0.7431857879788268,0.2783875194218251
20,0,1,0.2954464402449771,0.7054937260142756,0.7128991527127678,0.2932143580258198
21,0,1,0.28587559874490903,0.7175699194121998,0.7144528157836841,0.30338033640329265
22,0,1,0.3222078984266647,0.7253607583401209,0.7164007204643895,0.2910090959978181
23,0,1,0.3389637627490002,0.6885682703505415,0.6911380462143911,0.3171061253193893
24,1,1,0.33031341057242997,0.7009004351176468,0.7111599093967353,0.3386344610261979
25,1,1,0.3104291167779313,0.6990282230437379,0.7103702941298735,0.3443022173441276
26,0,0,0.3317609001264564,0.7228922991375005,0.7228378889435045,0.359102512390608
27,0,0,0.3228985985442112,0.7381487499088756,0.7047339052244227,0.37320857350555
28,1,1,0.35773734509882354,0.7245315315901448,0.676031840471275,0.3173487996514373
29,1,1,0.3783425673302131,0.7456756805948412,0.6575279401878832,0.33302661505810016
30,0,1,0.40162896249609015,0.7332864543346724,0.6905523841064909,0.3548893776957893
31,1,0,0.4290558632061399,0.7115380619763685,0.6498947041827399,0.32845604270519574
32,0,1,0.4354964977894634,0.7153753158973263,0.6292846678608561,0.3478245088719189
33,0,1,0.42248623842340116,0.7356436638548263,0.6255678501475868,0.3515706609742783
34,1,1,0.42704602193789115,0.7380135455800816,0.5931519614624098,0.36521094929830167
35,0,1,0.4476670516572365,0.7246924987815211,0.5901313036820387,0.37355334913586885
36,0,0,0.4507759859769668,0.7103835266323575,0.5770118819558744,0.39747634529002235
37,0,0,0.44478788159473903,0.717676112857998,0.5710599141413012,0.4259501587683342
38,1,0,0.47324117004836724,0.6949496941536574,0.5808113861256626,0.4327753854264866
39,0,0,0.494009901202186,0.6758450780172625,0.5632417267304077,0.4152408495906356
