Trial,S0_A1,S0_A2,PRw1,PRw2,PRw3,PRw4
1,0,1,0.25,0.75,0.4,0.6
2,0,1,0.25124291548676564,0.7403329975553423,0.40806159031676764,0.615264097662192
3,0,1,0.25327633045585407,0.7343935131457101,0.4051292411122955,0.6146881965521617
4,0,1,0.26502506517842783,0.7143587911348286,0.3927607017131204,0.5966314347175272
5,0,1,0.2919302442639655,0.7265635348833461,0.4011207251435865,0.5826786844548231
6,0,1,0.33452921676787095,0.7388259262135403,0.43128925078394076,0.5634357712636772
7,1,1,0.33764748980542836,0.7253924454850156,0.4196550378981446,0.5900985947323479
8,0,0,0.38173405969454166,0.7134357682696099,0.4619148427070841,0.5714138314296674
9,0,0,0.3797822691952215,0.7427245527943752,0.43445780777033877,0.6063025424618336
10,1,0,0.3803622112755832,0.7361889834141855,0.433300101936461,0.6290796748647237
11,1,1,0.4050643278771514,0.7317754460437077,0.4771645436714639,0.6454458104667776
12,1,0,0.38364058945432705,0.7113722726911389,0.47004419485928,0.6537134766630126
13,0,1,0.364774047504494,0.7023917831450258,0.45890970273058446,0.6585696661701719
14,0,1,0.3726424333316534,0.700068636016133,0.4453578549389135,0.6830748224226844
15,1,0,0.3993307665795979,0.6451007511272636,0.47543265254365624,0.6952841834924454
16,0,0,0.42299667980831585,0.6325546522841184,0.4561110504186412,0.6483019159726995
17,0,0,0.4184013602732988,0.6378225139745468,0.45860320469482846,0.6157986888335321
18,1,1,0.4271918759686063,0.6546226764163634,0.4335753253471799,0.6154653724290048
19,1,1,0.4133878872646479,0.6898489683074791,0.4249715858057075,0.6349891108100556
20,0,0,0.43511912929269597,0.7314692003029258,0.4440839317622477,0.6225398596801922
21,0,0,0.44434683278163545,0.7466355014199972,0.43149034334693814,0.5811118999339547
22,0,1,0.4271866989691229,0.7423879434362572,0.42055567040858455,0.6113794017453278
23,0,0,0.4512050398917161,0.7391587184458629,0.44308639448777476,0.6145328819768013
24,0,1,0.4284399936402772,0.7391848081491779,0.4482853409225104,0.6019697855681101
25,0,1,0.3745296532337975,0.7453151375548837,0.4660846166987755,0.5890434182991499
26,1,1,0.407025058563494,0.7348318042110881,0.47057086208558724,0.5914883911363977
27,1,0,0.43090021986193444,0.7383609152473272,0.4173820825582184,0.6307515383312983
28,0,1,0.40753357141328145,0.72272231785496,0.44981640009003687,0.6323927388539045
29,0,1,0.3976997517185666,0.7354239002615968,0.5271308148111788,0.6489470886939362
30,0,0,0.39115123474349084,0.7463734066888521,0.5151219577417374,0.6495154489304098
31,0,1,0.3931955689448245,0.7484676671514148,0.5252069465954233,0.657870633415261
32,1,1,0.4032132835779028,0.7191450714194958,0.5848686266764208,0.6553169884866186
33,1,1,0.43036369571197486,0.6942310032786398,0.5856941558285897,0.6444569016369388
34,0,0,0.4421770089587144,0.6514497164550996,0.5726049215081856,0.6478138362674992
35,1,1,0.4280194230137761,0.6410009274453251,0.5862383587213388,0.6319339995736714
36,0,1,0.4114550169418465,0.652358854357651,0.584347531880335,0.6637737280035169
37,0,1,0.42016451394304777,0.6716290970695257,0.5979950616801821,0.711747106122135
38,0,0,0.43091127900404463,0.6986320633151084,0.6128254639619909,0.7063190585666211
39,1,1,0.45134154973248236,0.6981862300541172,0.6316303106185984,0.7013442052541982
40,0,1,0.4771345675665618,0.7198260824794798,0.6414862656366085,0.6667496277375055
41,1,0,0.4698446973643678,0.7123658669845124,0.658843296187965,0.659504039285056
42,1,0,0.48839339169506696,0.7213097323204929,0.6451699747652919,0.6467692711346491
43,0,1,0.4538111947042269,0.661215413823656,0.6500404663261462,0.6414682139440007
44,1,0,0.40400876242038675,0.6547800636860939,0.6144681842742556,0.6310981129666736
