Trial,S0_A1,S0_A2,PRw1,PRw2,PRw3,PRw4,Rw1,Rw2,Rw3,Rw4
1,0,1,0.75,0.25,0.4,0.6,0.0,0.0,0.0,0.0
2,0,1,0.7420790750143893,0.2710776028291427,0.3900352960341322,0.605414032489674,1.0,0.0,0.0,1.0
3,0,0,0.692233633476255,0.2668726370255867,0.3668438939014462,0.6148855724872407,0.0,1.0,1.0,0.0
4,0,1,0.6775329671420387,0.2990789421275474,0.34351713644832216,0.6008474463460275,1.0,0.0,0.0,1.0
5,1,1,0.6982611475344189,0.3259463559618153,0.3423539844141592,0.5946219437363504,1.0,0.0,0.0,1.0
6,1,1,0.6751660430539996,0.2948545180858298,0.3478819184527361,0.5757545530693963,1.0,0.0,0.0,0.0
7,0,1,0.6603532091813428,0.261000725576512,0.3451908932695487,0.6131283807183922,0.0,0.0,0.0,0.0
8,1,0,0.6487938786077554,0.3054655675219073,0.3689586643645113,0.5592298072891546,0.0,1.0,1.0,0.0
9,1,1,0.6329231902841109,0.2975229329601502,0.34471364078300937,0.5706868479735229,1.0,0.0,0.0,0.0
10,0,1,0.6051835735411265,0.2892854660953006,0.27397841948853224,0.5745229626416725,1.0,0.0,1.0,0.0
11,1,0,0.6250056742335643,0.28115159796806233,0.25394453063809724,0.5605793497484944,0.0,1.0,0.0,0.0
12,1,0,0.6442148508305879,0.3380311475805688,0.2812910130310362,0.5919625809922471,1.0,0.0,0.0,1.0
13,1,0,0.6389686520808946,0.3220753726652491,0.282564678716504,0.6191975350138307,1.0,0.0,0.0,0.0
14,0,1,0.6499417100095294,0.3224261774436044,0.30776251549568856,0.6228552197067914,1.0,0.0,0.0,0.0
15,0,1,0.6121279253425387,0.33603960006053873,0.3190118401513513,0.6189799525467204,1.0,1.0,1.0,1.0
16,1,1,0.575335572188425,0.34525492309625844,0.3233486210004312,0.6699593132472822,0.0,0.0,1.0,1.0
17,0,0,0.551390914984798,0.3671596951533493,0.3069120553672981,0.6894154031614688,0.0,0.0,0.0,0.0
18,0,1,0.4961544277886371,0.4151844389603295,0.3121069130024753,0.6738887020877793,0.0,0.0,1.0,1.0
19,1,1,0.5585683220644018,0.42981732042195386,0.32593176169685445,0.6736556740514912,1.0,1.0,0.0,1.0
20,0,0,0.5247379284044291,0.4584842080258472,0.2914181715695031,0.7001682362781478,0.0,1.0,0.0,1.0
21,1,1,0.5349974807614822,0.4740331921876498,0.33652519249580504,0.7129925398666878,0.0,1.0,0.0,1.0
22,1,0,0.5413895099482836,0.4637237283631176,0.3083657969691197,0.654668080336883,0.0,0.0,1.0,1.0
23,0,1,0.5306442710236998,0.4678665170412235,0.33627001537905626,0.6491432210346187,1.0,0.0,0.0,0.0
24,1,1,0.5407946241391902,0.4920783216933523,0.30450785183121803,0.6607116223842173,0.0,0.0,0.0,0.0
25,1,1,0.5452530906958726,0.4252309289691364,0.3125057157930109,0.6512152866071402,1.0,0.0,0.0,1.0
26,0,1,0.5331999626274874,0.3947284087075606,0.3572900261616471,0.6423598990284672,1.0,0.0,1.0,1.0
27,0,1,0.5185262245773371,0.4139919601815287,0.3438948664738276,0.6308795128508111,1.0,1.0,0.0,0.0
28,0,0,0.5117037126900473,0.4135277670807419,0.3180206985842005,0.6154745767392222,0.0,1.0,0.0,1.0
29,0,1,0.4570659110046498,0.4223737691203857,0.25934707248040034,0.6508469146385055,1.0,1.0,1.0,0.0
30,0,1,0.44551205680998696,0.4413337069461662,0.2817752367019037,0.6411753969856706,1.0,0.0,0.0,1.0
31,0,0,0.4379938129309389,0.4460517929781944,0.27784830705301866,0.6392683056597497,0.0,1.0,0.0,1.0
32,1,0,0.4430271084402181,0.4064451880884985,0.2631217498408208,0.6739663906964518,0.0,0.0,0.0,1.0
33,0,1,0.4215076780784434,0.394879801090199,0.29878116360311285,0.6692287897448529,1.0,1.0,0.0,1.0
34,0,1,0.4389138178207144,0.4241209818921767,0.3013418167814797,0.6118151716325201,0.0,0.0,0.0,1.0
35,0,1,0.4435499984780562,0.43641000890161386,0.3242288504958313,0.6362891735494348,0.0,1.0,1.0,1.0
36,1,1,0.4513533398115312,0.42082698396240265,0.32264666822960364,0.6459341806624752,1.0,1.0,0.0,1.0
37,0,1,0.4282796640703229,0.41227716470930015,0.33924486370507473,0.6249792558909417,0.0,0.0,0.0,0.0
38,1,1,0.4150247342310185,0.39596763854488415,0.3044636614920833,0.6640132878803128,0.0,0.0,0.0,1.0
39,0,1,0.399886996949112,0.444941198744682,0.3174272452852828,0.6679418382251494,1.0,0.0,1.0,0.0
40,0,1,0.38185925203701854,0.4422742865871307,0.2926800219788498,0.6857647484154534,1.0,0.0,0.0,1.0
41,0,1,0.3619336350330223,0.4467236365154121,0.2881437366115616,0.6831303360312196,0.0,1.0,1.0,1.0
42,0,1,0.398942907247634,0.4432732430193629,0.3443014472882048,0.655323357826162,0.0,1.0,1.0,1.0
43,0,0,0.416418916933166,0.4334984039335855,0.35100560361907146,0.6653530191921093,1.0,0.0,0.0,1.0
44,1,0,0.4351756868516754,0.4433215529416265,0.3653506360565201,0.6525489034413722,1.0,0.0,1.0,1.0
45,0,1,0.410385140772139,0.4012722425630457,0.3514457284638082,0.6881461504440409,0.0,0.0,0.0,1.0
46,1,0,0.4209365469224185,0.4060030190009662,0.360202921847498,0.657761608901505,0.0,0.0,0.0,1.0
47,1,0,0.4354675324321533,0.3845993192340976,0.4162191730735748,0.7074822724831268,1.0,0.0,1.0,1.0
48,0,0,0.4118983559277218,0.3469244585536648,0.3888922257000261,0.688345415438179,1.0,0.0,1.0,0.0
49,0,0,0.3860888529480709,0.35534152972274263,0.4019522012483098,0.6976695732651281,0.0,0.0,1.0,1.0
50,1,0,0.3828204875073694,0.3319249073965617,0.4029211784080948,0.7205320448161785,1.0,0.0,0.0,1.0
51,0,0,0.3950798825086508,0.313764367484461,0.39708810998107774,0.7226774114619948,0.0,1.0,0.0,1.0
52,0,1,0.44387987503634657,0.327603460824582,0.3734647960327135,0.6706204573175233,1.0,1.0,0.0,1.0
53,0,1,0.4768360643570556,0.3653990620573483,0.4213842707532326,0.6958198423084531,1.0,0.0,0.0,1.0
54,1,0,0.4602618059202223,0.3925564289100738,0.402617432582798,0.6858652762820218,1.0,0.0,0.0,0.0
55,0,1,0.4805103925013627,0.4170450651513506,0.4318827406529965,0.6214395472904325,1.0,0.0,1.0,1.0
56,1,1,0.5130104327867698,0.40424353800852575,0.4292225287798239,0.6428514240090841,0.0,0.0,1.0,1.0
57,0,1,0.5393901325043335,0.3952780768996424,0.3885843730159755,0.6422771202886149,1.0,1.0,0.0,1.0
58,0,1,0.5286502190659701,0.3660452399694861,0.3813674924279492,0.5852170465196069,1.0,0.0,1.0,1.0
59,0,1,0.5697608001820896,0.3506453384997824,0.36903189326364816,0.5825224869912867,1.0,1.0,0.0,0.0
60,0,1,0.5155357842165142,0.3596557009293879,0.35916005407037593,0.5853015995090186,1.0,0.0,0.0,1.0
61,1,1,0.5009082129743297,0.3722805250564346,0.3298877513563917,0.6171755399028721,1.0,1.0,0.0,0.0
62,0,1,0.5018440660703131,0.3666439152811102,0.30957656544945866,0.6067023052578265,0.0,0.0,0.0,0.0
63,0,0,0.5246080241956916,0.36648675879407216,0.28961961922827856,0.6283112895639695,1.0,0.0,0.0,1.0
64,1,1,0.5291583048616355,0.34063941367655515,0.30172359054747433,0.6435978478449325,1.0,0.0,0.0,1.0
65,0,1,0.5578252960993331,0.3673999234364039,0.279960575638615,0.646060045857151,0.0,0.0,0.0,1.0
66,1,1,0.5518111005286204,0.4316480042251284,0.2884297486888016,0.5976140647831772,0.0,0.0,0.0,1.0
67,1,0,0.5512137537467041,0.4420815505109729,0.2795098528495753,0.6020782058499239,1.0,0.0,0.0,0.0
68,0,1,0.5760910452378156,0.4369890254383679,0.2608389709751703,0.6179389793534422,1.0,1.0,0.0,0.0
69,0,1,0.5643075516302279,0.4265894762108394,0.2509705343492821,0.5899920554092051,0.0,1.0,1.0,1.0
70,0,0,0.5894276081750823,0.3938563535930581,0.25583687263052096,0.6045465663128132,1.0,0.0,1.0,1.0
71,0,0,0.5537496186491566,0.41063026732117,0.256730673757215,0.5700615266355724,1.0,0.0,0.0,0.0
72,0,0,0.572346601737048,0.4549968904169936,0.2667436364207467,0.5577617554327668,0.0,1.0,0.0,1.0
73,0,0,0.5842203604442769,0.4579694911118397,0.2691735120925591,0.5796308915835372,1.0,0.0,1.0,1.0
74,0,1,0.5369496255339063,0.4754646409106896,0.25489321137058063,0.5529956555672371,1.0,1.0,0.0,0.0
75,0,1,0.5233928883638989,0.4664977974447436,0.26434618169943264,0.5289068606180606,1.0,1.0,0.0,1.0
76,0,1,0.5305242860544362,0.4849933055009168,0.2767544469447132,0.4781001023563495,1.0,1.0,0.0,1.0
77,1,0,0.533837532301431,0.4970899801052099,0.26111073924492645,0.4572900143182299,1.0,0.0,0.0,0.0
78,0,1,0.5608447836366759,0.5018702951647681,0.2503892533422503,0.4516849327779556,0.0,1.0,1.0,1.0
79,0,1,0.5453797008920971,0.525996425853688,0.2612622549300335,0.4313023483351445,1.0,1.0,1.0,0.0
80,1,1,0.5608039546652136,0.4500812393185869,0.2884047917688077,0.4360441717403205,0.0,0.0,0.0,0.0
81,1,0,0.545254617845345,0.4639970688541241,0.25521931493640576,0.4747195631103957,0.0,1.0,0.0,0.0
82,1,1,0.5649918045749514,0.5031022184420297,0.26891540895015026,0.4547920580260666,0.0,1.0,0.0,1.0
83,0,1,0.5337044704008957,0.5043714503359752,0.2814329332867293,0.4198812566331409,1.0,1.0,0.0,1.0
84,0,0,0.5539388006752854,0.5275723105278691,0.2748557618420487,0.3957391665943864,1.0,1.0,0.0,0.0
85,1,1,0.5567220191523697,0.5029944893821221,0.28511010239170537,0.3643376941770412,0.0,1.0,0.0,0.0
