Trial,S0_A1,S0_A2,PRw1,PRw2,PRw3,PRw4,Rw1,Rw2,Rw3,Rw4
1,0,1,0.25,0.75,0.4,0.6,0.0,1.0,0.0,1.0
2,0,1,0.279125926755618,0.7052061243253912,0.3765974264145747,0.5970641332568016,0.0,1.0,1.0,0.0
3,0,1,0.285647610027728,0.7068210302034279,0.373518578750661,0.5614827409343959,0.0,0.0,1.0,1.0
4,0,0,0.3066710205878971,0.7029515610213197,0.39129007191749704,0.4965439687731551,0.0,1.0,1.0,1.0
5,0,0,0.29185643785886795,0.6932989776146804,0.34815273152460896,0.4839680864403158,0.0,0.0,1.0,0.0
6,1,1,0.33991686480280997,0.7046643984983044,0.3555941306529119,0.5166185247766177,1.0,1.0,0.0,0.0
7,0,0,0.35938028631896923,0.703494388387349,0.3859836553500333,0.4744417609238169,1.0,1.0,1.0,0.0
8,0,0,0.4156751468813119,0.6882679535195204,0.40413617254425777,0.4814253428601305,1.0,0.0,0.0,0.0
9,0,1,0.4427055632009265,0.6759176988449095,0.4345907461696516,0.515124021153445,0.0,1.0,0.0,1.0
10,0,1,0.48002988986336187,0.684806086577138,0.3469012185582826,0.46932798334813786,0.0,1.0,0.0,0.0
11,0,1,0.4312606440071879,0.6928724557310529,0.3423373278750458,0.496117650083089,1.0,1.0,0.0,1.0
12,0,1,0.4067507540632056,0.6743817880786839,0.37120990955569316,0.4689050831931753,1.0,0.0,0.0,1.0
13,0,1,0.46191541262581953,0.6828345289661187,0.37905790277444074,0.44953254500622714,1.0,1.0,1.0,1.0
14,1,1,0.4383101448339457,0.701359373628975,0.362858850341037,0.42739378079621876,1.0,1.0,0.0,0.0
15,0,0,0.41773361509183193,0.7269708221061904,0.37148434104191175,0.39092295322582177,0.0,1.0,0.0,0.0
16,0,1,0.4461177270049687,0.7413209489848325,0.40198201698525465,0.39320857159052197,0.0,1.0,0.0,1.0
17,0,0,0.49247672197762005,0.7232439969362102,0.4578761067897217,0.39630635017828175,1.0,1.0,1.0,0.0
18,0,1,0.5147016273066923,0.7347944829979388,0.46490375679679186,0.41897165160051425,0.0,1.0,1.0,1.0
19,0,1,0.48663273598997625,0.7430332283996769,0.4933641293735376,0.3918687090008259,1.0,0.0,1.0,0.0
20,0,0,0.47703930379580595,0.7297313854296851,0.49135817216564226,0.4182363716680549,0.0,1.0,1.0,0.0
21,0,1,0.4956078156123204,0.7194429368754,0.512407747639227,0.4098823169943355,1.0,1.0,1.0,1.0
22,0,0,0.45699051169992977,0.7085954158973858,0.5477079598869932,0.41337747228336097,1.0,0.0,0.0,0.0
23,0,0,0.43924750729932593,0.6997610964493982,0.563948450634163,0.4208563235237439,0.0,1.0,1.0,0.0
24,0,1,0.4282767624721487,0.7154316389648026,0.5254375284259167,0.4220041236151926,0.0,1.0,0.0,1.0
25,1,1,0.38288572545911104,0.7220546593532919,0.5080996950371527,0.42320352961369795,1.0,1.0,0.0,1.0
26,0,1,0.40493306663968076,0.7413174071737368,0.5279256324778978,0.41301617266418045,0.0,1.0,0.0,1.0
27,0,1,0.386370171474802,0.7294029068779677,0.48710088304765375,0.3977187209565756,1.0,0.0,0.0,0.0
28,0,1,0.3674354227948102,0.7070423631612183,0.5409035906076815,0.39801381158130594,0.0,1.0,1.0,0.0
29,0,1,0.37719935958284,0.7185130743796766,0.5500093291299281,0.42219913987597757,0.0,1.0,0.0,0.0
30,0,0,0.35722313839535697,0.699215323911663,0.5231673824727643,0.37724684907501915,1.0,1.0,1.0,0.0
